ID,min1,min2,tform,sepform,eccform,k1form,m1form,k2form,m2form,tmerg,k1,m1,k2,m2,sep,ecc,label
7995,21.2437,19.9204,12.8845,0.92453E+01,0.37139E+00,13,2.5772,14,3.9317,10215.5430,15,7.2059,14,6.5089,0.00000E+00,0.00000E+00,COELESCE
8044,14.3064,13.9490,18.2970,0.10944E+02,0.95873E+00,13,1.5772,13,1.3506,111.0742,13,2.9278,15,4.4158,0.00000E+00,0.00000E+00,COELESCE
8174,25.3336,20.5517,11.6180,0.97256E+01,0.58007E+00,14,3.7242,14,3.8013,3195.4580,14,7.5255,15,8.4914,0.00000E+00,0.00000E+00,COELESCE
8192,10.1406,9.9798,32.0177,0.86782E+01,0.85011E+00,13,1.2362,13,1.5265,2294.6196,15,2.2215,13,2.7627,0.00000E+00,0.00000E+00,COELESCE
8306,42.1982,14.5498,11.5335,0.17184E+02,0.52863E+00,14,8.6655,14,3.8410,10276.1162,15,11.9644,14,12.5065,0.00000E+00,0.00000E+00,COELESCE
8370,19.6319,9.7786,22.2533,0.25815E+01,0.76484E+00,13,2.1325,13,1.4672,53.2690,14,3.5997,15,4.7449,0.00000E+00,0.00000E+00,COELESCE
8395,13.6643,8.8363,30.1624,0.98495E+01,0.93175E+00,13,1.5411,13,1.2664,354.1721,13,2.8075,15,4.0414,0.00000E+00,0.00000E+00,COELESCE
8494,15.6240,8.1028,29.6033,0.66135E+01,0.92203E+00,13,1.6304,13,1.2355,123.9548,13,2.8659,15,3.8926,0.00000E+00,0.00000E+00,COELESCE
8557,39.1935,21.4839,9.7944,0.13076E+02,0.86179E-01,14,9.7868,14,6.2037,4697.7715,15,12.5884,14,15.9905,0.00000E+00,0.00000E+00,COELESCE
8639,33.2108,13.1957,13.5971,0.16330E+02,0.69849E+00,14,6.1236,13,2.3505,8901.2637,15,10.3673,14,8.4741,0.00000E+00,0.00000E+00,COELESCE
8667,14.6673,8.3448,30.5732,0.13527E+04,0.99957E+00,13,1.5877,13,1.2355,4442.7344,13,2.8232,15,3.9089,0.00000E+00,0.00000E+00,COELESCE
8761,16.5141,8.3627,28.1379,0.27812E+01,0.70121E+00,13,1.7542,13,1.3299,156.1229,14,3.0840,15,4.2001,0.00000E+00,0.00000E+00,COELESCE
8873,11.2413,8.1162,35.2517,0.17898E+02,0.93155E+00,13,1.2361,13,1.3241,4317.8853,15,2.5615,13,2.5602,0.00000E+00,0.00000E+00,COELESCE
9003,16.2622,12.6907,19.9363,0.50370E+01,0.45004E+00,13,1.6578,13,1.9050,4109.8892,15,5.0439,14,3.5628,0.00000E+00,0.00000E+00,COELESCE
9114,17.3432,7.8068,27.8956,0.67477E+01,0.91191E+00,13,1.7183,13,1.2495,163.5616,13,2.9678,15,4.0438,0.00000E+00,0.00000E+00,COELESCE
9161,9.7365,8.0354,40.7817,0.18163E+02,0.95814E+00,13,1.2623,13,1.2355,1208.4512,13,2.4978,15,3.7859,0.00000E+00,0.00000E+00,COELESCE
9351,40.8018,23.6086,9.1953,0.16605E+02,0.13081E+00,14,11.0038,14,7.6469,7219.8760,15,13.2152,14,18.6506,0.00000E+00,0.00000E+00,COELESCE
9478,13.7796,13.2040,18.8487,0.67273E+01,0.92145E+00,13,1.5117,13,1.3192,124.8073,13,2.8309,15,4.2572,0.00000E+00,0.00000E+00,COELESCE
9577,16.5531,6.7113,30.3925,0.40304E+01,0.91151E+00,13,1.4894,13,1.2355,52.8636,13,2.7249,15,3.5616,0.00000E+00,0.00000E+00,COELESCE
9659,25.2636,12.9132,20.2745,0.66369E+01,0.64033E+00,14,3.9286,13,1.2355,1991.1564,14,5.1641,15,3.7842,0.00000E+00,0.00000E+00,COELESCE
9698,17.9528,6.8580,28.7071,0.13978E+01,0.81464E+00,13,1.6465,13,1.2355,31.2719,13,2.8821,15,3.5700,0.00000E+00,0.00000E+00,COELESCE
9727,35.8490,13.8159,12.8289,0.72826E+01,0.13164E+00,14,7.5066,13,2.6290,2129.5195,15,11.2794,14,10.1356,0.00000E+00,0.00000E+00,COELESCE
9898,91.1076,37.6058,6.4852,0.23469E+02,0.10782E-01,14,23.5748,14,22.7969,1957.8215,15,23.8296,14,46.3716,0.00000E+00,0.00000E+00,COELESCE
10219,27.1624,20.9507,11.1328,0.11525E+02,0.36576E+00,14,4.2319,14,5.0123,8482.7354,14,9.2442,15,9.5529,0.00000E+00,0.00000E+00,COELESCE
10224,18.8873,7.4157,25.9307,0.26835E+01,0.86372E+00,13,1.7208,13,1.2355,38.8564,13,2.9563,15,3.9566,0.00000E+00,0.00000E+00,COELESCE
10426,28.4249,27.8961,7.8311,0.13835E+02,0.59551E+00,14,4.6009,14,3.8638,8207.9912,15,9.2121,14,8.4647,0.00000E+00,0.00000E+00,COELESCE
10604,20.4251,15.8861,15.2445,0.70402E+01,0.33607E+00,13,2.5044,13,2.5869,7667.2705,15,7.0784,14,5.0914,0.00000E+00,0.00000E+00,COELESCE
10606,10.6103,7.9502,38.2607,0.42018E+01,0.91460E+00,13,1.2378,13,1.2355,69.5816,13,2.4734,15,3.5045,0.00000E+00,0.00000E+00,COELESCE
10608,27.1668,23.7755,10.2265,0.14766E+02,0.59475E+00,14,4.0983,14,5.5139,7437.8911,14,9.6122,15,9.9420,0.00000E+00,0.00000E+00,COELESCE
10654,27.6817,14.6041,14.0547,0.64134E+01,0.42398E+00,14,4.0697,13,2.4729,2045.1968,14,6.5426,15,7.0285,0.00000E+00,0.00000E+00,COELESCE
10953,9.8965,8.3692,39.0259,0.11643E+02,0.91167E+00,13,1.2368,13,1.2823,1945.0044,15,2.1373,13,2.5191,0.00000E+00,0.00000E+00,COELESCE
11094,21.9615,11.9346,18.0302,0.46334E+01,0.34051E+00,13,2.7199,13,1.9115,1989.6361,14,4.6313,15,5.8246,0.00000E+00,0.00000E+00,COELESCE
11160,19.8494,15.0057,16.4198,0.47815E+01,0.74276E+00,13,2.3863,13,1.4668,410.3794,14,3.8531,15,4.5540,0.00000E+00,0.00000E+00,COELESCE
11266,19.9330,16.0561,14.5937,0.40379E+01,0.91198E+00,13,2.3423,13,1.2355,25.2250,14,3.5778,15,3.9754,0.00000E+00,0.00000E+00,COELESCE
11292,23.6171,10.4851,18.9687,0.37018E+01,0.77276E+00,14,3.0337,13,1.5916,78.6606,14,4.6253,15,5.0895,0.00000E+00,0.00000E+00,COELESCE
11357,13.5884,9.6951,28.1692,0.34222E+01,0.88268E+00,13,1.3906,13,1.3098,56.2264,13,2.7004,15,4.2977,0.00000E+00,0.00000E+00,COELESCE
11361,28.1678,22.3406,10.5476,0.10488E+02,0.43414E+00,14,4.4567,14,4.9720,4406.8018,14,9.4288,15,9.5206,0.00000E+00,0.00000E+00,COELESCE
11445,46.2401,27.9069,8.1499,0.24009E+02,0.75719E-01,14,12.5650,14,12.3051,13221.2725,15,13.9585,14,24.8701,0.00000E+00,0.00000E+00,COELESCE
11559,10.1109,8.7455,36.6627,0.35076E+01,0.94285E+00,13,1.2766,13,1.2355,40.7715,13,2.5122,15,3.5761,0.00000E+00,0.00000E+00,COELESCE
11565,26.7522,13.2568,15.1394,0.27580E+02,0.87732E+00,14,3.3189,13,2.3305,13639.3994,14,5.6495,15,6.7577,0.00000E+00,0.00000E+00,COELESCE
11603,14.8235,7.5703,30.7779,0.54639E+01,0.92263E+00,13,1.4066,13,1.2355,84.1980,13,2.6421,15,3.7409,0.00000E+00,0.00000E+00,COELESCE
11668,13.3295,7.5870,32.7412,0.20751E+01,0.90293E+00,13,1.2501,13,1.2355,35.4843,13,2.4856,15,3.4766,0.00000E+00,0.00000E+00,COELESCE
11676,10.8662,10.5591,27.6473,0.10797E+01,0.52046E-01,13,1.2364,13,1.2355,85.0055,13,2.4719,15,2.9872,0.00000E+00,0.00000E+00,COELESCE
11684,9.1724,8.6297,39.3540,0.99972E+01,0.80639E+00,13,1.2361,13,1.3931,9359.5771,15,1.9440,13,2.6292,0.00000E+00,0.00000E+00,COELESCE
11768,11.1378,9.1709,32.0725,0.29286E+01,0.87345E+00,13,1.2373,13,1.2355,56.6427,13,2.4728,15,4.0467,0.00000E+00,0.00000E+00,COELESCE
11770,35.4771,12.5566,13.5617,0.10183E+02,0.41251E+00,14,7.4480,13,2.3394,5176.4404,15,11.2444,14,9.7874,0.00000E+00,0.00000E+00,COELESCE
11811,28.1014,18.8775,11.9586,0.10242E+02,0.40254E+00,14,4.6928,14,3.9853,5743.4541,15,9.2772,14,8.6781,0.00000E+00,0.00000E+00,COELESCE
11881,10.0457,8.1231,39.0082,0.10156E+01,0.80504E+00,13,1.2709,13,1.2355,40.2383,13,2.5064,15,3.3133,0.00000E+00,0.00000E+00,COELESCE
12057,13.1029,12.4964,21.1140,0.15130E+01,0.30302E+00,13,1.4917,13,1.2355,139.5157,13,2.7272,15,3.3276,0.00000E+00,0.00000E+00,COELESCE
12082,11.0147,9.4474,31.5969,0.41655E+01,0.78335E+00,13,1.2363,13,1.4363,425.9902,15,2.4638,13,2.6726,0.00000E+00,0.00000E+00,COELESCE
12172,10.0388,8.0917,39.3893,0.42392E+01,0.88898E+00,13,1.2629,13,1.2355,108.6590,13,2.4984,15,3.6960,0.00000E+00,0.00000E+00,COELESCE
12177,22.4124,7.8810,23.5759,0.35309E+01,0.68470E+00,13,2.6706,13,1.4262,201.4881,14,4.0968,15,4.4807,0.00000E+00,0.00000E+00,COELESCE
